order_date,order_datetime,ticket_type,access_level,attendance_days,product_name,platform,price,gross_price,quantity,is_paid
2026-05-04,2026-05-04 17:00:24,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:27,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:27,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:28,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:28,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:31,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:00:34,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:36,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:00:36,samedi,regular,['samedi'],Pass Samedi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:36,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:36,samedi,regular,['samedi'],Pass Samedi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:36,samedi,regular,['samedi'],Pass Samedi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:37,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:00:37,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:00:38,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:46,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:46,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:53,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:54,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:00:54,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:00:54,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:00:55,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:55,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:00:56,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:00:57,vendredi,vip,['vendredi'],Pass Acces Scene,Shotgun,70.0,79.12,1,1
2026-05-04,2026-05-04 17:00:58,vendredi,vip,['vendredi'],Pass Acces Scene,Shotgun,70.0,79.12,1,1
2026-05-04,2026-05-04 17:00:58,vendredi,vip,['vendredi'],Pass Acces Scene,Shotgun,70.0,79.12,1,1
2026-05-04,2026-05-04 17:01:00,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:00,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:00,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:01,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:02,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:02,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:01:02,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:01:02,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:01:03,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:03,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:10,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:01:10,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:01:15,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:17,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:17,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:18,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:01:20,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:01:24,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:01:24,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:27,2-jours,vip,,Pass Acces Scene,Shotgun,120.0,135.63,1,1
2026-05-04,2026-05-04 17:01:27,2-jours,vip,,Pass Acces Scene,Shotgun,120.0,135.63,1,1
2026-05-04,2026-05-04 17:01:29,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:35,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:35,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:01:35,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:38,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:01:40,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:45,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:01:47,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:01:48,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:49,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:53,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:57,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:01:58,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:01:58,vendredi,regular,['vendredi'],Pass Vendredi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:02:02,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
2026-05-04,2026-05-04 17:02:07,samedi,regular,['samedi'],Pass Samedi,Shotgun,40.0,45.21,1,1
2026-05-04,2026-05-04 17:02:07,2-jours,regular,,Pass 2 Jours,Shotgun,71.82,81.17,1,1
